feed,사료|먹이|공급하다|수유|사육
resolve,해결하다|결의하다|대책을 마련하다|해법
reduce,줄이다|감소시키다|축소하다|줄어들다|낮추다
reduction,감소|감축|축소|절감|인하
recess,휴회|휴식|쉬다|휴정|휴가
recognition,인식|인정|평가|승인|수여
reception,수신|리셉션|환영|접수
receive,받다|얻다|수상하다|접수하다|당하다
priority,우선|중요|먼저|상위|우위
pride,자부심|자존심|자랑|긍지|프라이드
previous,이전의|앞선|먼저의|예비의
prevent,막다|방지하다|예방하다|못하게 하다|금지하다
prevalent,만연한|널리 퍼진|일반적인|유행하는
prevail,만연하다|이기다|설득하다|팽배하다|우세하다
firmly,강하게|확고하게|꽉|자신 있게
press,언론|기자|보도|누르다|압박하다
preserve,보존하다|유지하다|보호하다|지키다|보전하다
presentation,프레젠테이션|발표|설명|제출
present,현재의|제시하다|선물하다|보여주다|발표하다
prescribe,처방하다|규정하다|지시하다|제시하다
prepare,준비하다|대비하다|마련하다
premature,조기의|시기상조의|이른|조산의
predictable,예언할 수 있는|새로운 게 없는|당연한
objective,목표의|객관적인|목적의|현실 |대물의
objection,반대|이의|거부
notice,알아차리다|주목하다|공지|경고|게시
nutritious,영양분이 풍부한|건강에 좋은|양식
numerous,수많은|다양한|다수의
notify,통보하다|알리다|신고하다|발표하다
multiply,곱하다|늘리다|증식시키다|증가시키다|번식하다
mutual,상호적인|서로의|공동의
notable,주목할 만한|유명한|두드러진|뛰어난
negotiation,협상|교섭|협의|거래
negative,부정의|음성의|마이너스의|네거티브|반대의
needless,불필요한|쓸데없는
intention,의도|의사|의향|의지|취지
intensity,강도|강렬함|집중|중요성
unavoidable,불가피한|피할 수 없는|무효로 할 수 없는
intend,하려고 하는|의도하다|계획하다|의미하다
inevitable,불가피한|피할 수 없는|필연적인
insurance,보험|보험금
insistent,끈덕진|집요한|고집하는
motivate,동기 부여|의욕|목적의식|자극하다|주도
encourage,격려하다|장려하다|권하다|조장하다|촉진하다
inspire,영감을 주다|고무하다|고취하다|격려하다
inspect,검사하다|조사하다|면밀하게 살피다
hesitate,망설이다|주저하다
heavily,크게|과하게|상당히|두껍게|무겁게
custody,구속|구금|수감|양육권|체포
handout,인쇄물|유인물|프린트
process,과정|공정|처리|프로세스|절차
habitant,거주자|주민|루지애나주의 프랑스계 이민자
guilt,죄책감|유죄
grant,부여하다|주다|보조금|허가하다|승인하다
grade,학년|성적|등급|점수|평가
glance,흘끗 보다|곁눈질|대충 훑어보다|스치다
gift,선물|재능|증여|증정
generate,생성하다|발생시키다|내다|창출하다|만들어 내다
furthermore,게다가|더 나아가|또한|더욱이|뿐만 아니라
more,더|더 많은|더욱|이상으로|또한
further,더|더 나아가|더 멀리|그 이상의|게다가
authority,당국|권한|권위자|권위|권력
professional,프로의|전문의|직업의
specialist,전문가|전문의
expert,전문가|숙련된|달인
utilize,활용하다|이용하다|사용하다|실시하다|유지하다
extend,확장하다|연장하다|늘리다|미치다|뻗다
exposure,노출|폭로|피폭|유기|투여
expose,노출하다|보이다|폭로하다|드러내다|경험하다
explicit,명백한|노골적인|솔직한
expire,만료되다|기한이 지나다|끝나다|사망
expense,비용|지출|희생|경비
expect,예상하다|기대하다|생각하다|바라다|기다리다
expand,확대하다|확장하다|늘다|성장하다|넓히다
exhale,발산하다|내쉬다|숨을 내쉬다
execution,사형 집행|실행|처형|솜씨
exclusive,배타적|독점적|전용|단독적|전속
exclusion,배제|제외|배타|소외
excess,과잉|초과|여분|지나침|무절제
exceed,넘어서다|초과하다|능가하다
evolve,진화하다|발전하다|변하다
adopt,채택하다|입양하다|도입하다|적용하다|취하다
accept,받아들이다|수용하다|인정하다|입학시키다|응하다
embrace,포용하다|받아들이다|포옹하다|이용하다|…을 포함하다
enable,할 수 있게 하다|가능하게 하다
emotion,감정|정서|감성|기분|감동
emission,배출|방출|배기|발생|발열
emerge,새로운|떠오르다|나타나다|(어려움에서) 벗어나다|명백해지다
embassy,대사관|외국공관|대사관저
embark,탑승하다|시작하다|배를 타다
embargo,통상 금지|출항을 금지하다|금지
elsewhere,다른 곳|어느 곳이나|어떤 딴 곳에
eliminate,없애다|제거하다|폐지|사라지다|척결
be eligible for,
eligible,자격이 있는|권한이 있는|가능한
elevation,고도|높이|향상
election,선거|투표|당선|선정|선택
displace,치환하다|…을 대신하다|바꾸어 놓다
catastrophe,대참사|재난
disaster,재난|재앙|사고|피해|실패
discriminate,차별하다|식별하다
discourage,낙담시키다|단념시키다|좌절시키다
