还,아직|돌아가다|성
过,성|가다|번
贵,비싸다|중히 여기다|구이저우의 약칭
公司,회사
公斤,킬로그램
公共汽车,버스
给,주다|…을 위하여|피동·처치 따위의 뜻을 나타내는 문장의 술어 동사 앞에 직접적으로 쓰여 어기를 강하게 함
哥哥,형|오빠|친척 중의 동년배로서 자기보다 나이가 많은 남자
告诉,알리다|고소|말하다
高,높다|높이|높아지다
服务员,종업원|웨이터|안내원
非常,예사롭지 않은|비상한|비정상적인
房间,방
对,대답하다|맞은편|맞다
懂,알다|이해하다
第一,가장 중요하다|제일이다|제1
弟弟,아우|남동생
等,등급|종류|대등하다
得,얻다|알맞다|좋아요
到,도착하다|…에|성
但是,그러나|그렇지만|단지…이라면
打篮球,농구를 하다
大家,대가|명문|권위자|모두
错,들쑥날쑥하다|갈다|틀림
从,좇다|따르는 사람|… 부터
次,순서|제2의|떨어지다
船,배|선박
穿,뚫다|뚫어지다|묘혈
出,나가다|그 동사가 나타내는 행동이 밖으로나 겉으로 향함을 나타냄|전기 중의 일회
唱歌,노래를 부르다|노래|창가
长,길다|길이|항상
别,이별하다|별개의|차별
比,비교하다|비|…에 비하여
报纸,신문|신문지|신문 용지
帮助,돕다|원조하다|보좌하다
百,백|전혀|성
白,흰색|희다|명백하다
吧,뚝|담배를  빨다|구말에 쓰여 상의·제의·청구·명령·독촉의 어기를 나타냄
认识,알다|인식하다|인식
火车站,기차역
分钟,분
出租汽车,택시
昨天,어제
做,제조하다|짓다|동작
坐,앉다|자리|아무런 이유 없이
字,"글자|글자의 발음|옛날, 여자들이 결혼을 승낙하다"
桌子,탁자|테이블
住,살다|숙박하다|성
中午,정오|점심|낮 12시 전후
中国,중국
这,이|이것|‘这zhè’의 구어음
怎么样,별로 …않다|어떻게 하다|어떻다
怎么,왜|어떻게|어째서
再见,또 뵙겠습니다|안녕히 계십시오|안녕
在,존재하다|…에|지금 …하고 있다
月,달|월|매월의
有,가지고 있다|어떤 조대 이름 앞에 붙는 접두사|성
椅子,의자
医院,병원|의원
医生,의사|의생|의원
衣服,옷|의복
一,1|첫째|같다
学校,학교
学习,학습|공부|학습하다
学生,학생|후배가 선배에 대해 자기를 이르는 말|남자 어린이
星期,주|주일|요일
喜欢,좋아하다|즐겁다|기쁘다
谢谢,감사합니다|고맙습니다|사례의 말을 하다
写,"글씨를 쓰다|글을 짓다|옛날, 상하이에서 ‘买办’을 일컬었음"
